run_id,window_id,timestamp,condition,speed_configuration,sample_rate,sample_count,axis,unit,source,rms,peak_to_peak,crest_factor,dominant_frequency,band_energy,label
fan_normal_00,0,1.0,normal,demo_fixed_speed,800.0,512,z,g,simulated,0.03345766887454568,0.11288004056677059,1.7229551968994143,50.0,0.001095139499867732,0
fan_normal_00,1,1.89,normal,demo_fixed_speed,800.0,512,z,g,simulated,0.030688438741242826,0.10157875933412086,1.6925731937653716,50.0,0.0009328645024118901,0
fan_normal_00,2,2.78,normal,demo_fixed_speed,800.0,512,z,g,simulated,0.03307198363259025,0.11495101617657721,1.7461508075087857,50.0,0.0010905711937150401,0
fan_normal_00,3,3.67,normal,demo_fixed_speed,800.0,512,z,g,simulated,0.031458827949847376,0.1015098655638661,1.622979745889273,50.0,0.0009881244038165674,0
fan_normal_00,4,4.56,normal,demo_fixed_speed,800.0,512,z,g,simulated,0.034597769369390116,0.11347855819133157,1.6422667328154574,50.0,0.0011876465399864552,0
fan_normal_00,5,5.45,normal,demo_fixed_speed,800.0,512,z,g,simulated,0.030602039795653325,0.10838510721437267,1.7869610479446845,50.0,0.0009311213883404206,0
fan_normal_00,6,6.34,normal,demo_fixed_speed,800.0,512,z,g,simulated,0.03436225512530204,0.11052486346098056,1.641349731281043,50.0,0.001158839564607216,0
fan_normal_00,7,7.23,normal,demo_fixed_speed,800.0,512,z,g,simulated,0.03174353038796814,0.10729210034453651,1.7267903566825318,50.0,0.0009802889391894865,0
fan_normal_01,0,1.0,normal,demo_fixed_speed,800.0,512,z,g,simulated,0.031655390275868195,0.10617326513933223,1.6910537300844444,50.0,0.0010149286443910965,0
fan_normal_01,1,1.89,normal,demo_fixed_speed,800.0,512,z,g,simulated,0.031122997726094368,0.10346582752792355,1.679382363037194,50.0,0.0009536031347415451,0
fan_normal_01,2,2.78,normal,demo_fixed_speed,800.0,512,z,g,simulated,0.03425406448065936,0.11937387014839651,1.7915412257450565,50.0,0.0011812065461099502,0
fan_normal_01,3,3.67,normal,demo_fixed_speed,800.0,512,z,g,simulated,0.033243084167516,0.10992804674100465,1.6654030770942383,50.0,0.0010801930306665094,0
fan_normal_01,4,4.56,normal,demo_fixed_speed,800.0,512,z,g,simulated,0.031221899240171606,0.1050819397602929,1.7265642426366858,50.0,0.0009713266737983426,0
fan_normal_01,5,5.45,normal,demo_fixed_speed,800.0,512,z,g,simulated,0.03322371180634647,0.10894282881522266,1.6397763285610705,50.0,0.0010968342835575894,0
fan_normal_01,6,6.34,normal,demo_fixed_speed,800.0,512,z,g,simulated,0.03208726084030242,0.11269927330015206,1.8010676664799274,50.0,0.0010170898415333648,0
fan_normal_01,7,7.23,normal,demo_fixed_speed,800.0,512,z,g,simulated,0.03128533532160657,0.10670893875428467,1.8171517621795625,50.0,0.0009619740545898635,0
fan_normal_02,0,1.0,normal,demo_fixed_speed,800.0,512,z,g,simulated,0.03219916536152278,0.10447863531148227,1.6436828058551725,50.0,0.0010193552812108341,0
fan_normal_02,1,1.89,normal,demo_fixed_speed,800.0,512,z,g,simulated,0.03199369381251931,0.10967220655680388,1.7652787968282377,50.0,0.0010378469703060588,0
fan_normal_02,2,2.78,normal,demo_fixed_speed,800.0,512,z,g,simulated,0.032417614088736606,0.10851508463625081,1.7080665848706509,50.0,0.001046465620065313,0
fan_normal_02,3,3.67,normal,demo_fixed_speed,800.0,512,z,g,simulated,0.029905902046640655,0.10248161808095435,1.7246763065602124,50.0,0.0008860155748867476,0
fan_normal_02,4,4.56,normal,demo_fixed_speed,800.0,512,z,g,simulated,0.03426674177485873,0.11076410366257228,1.6232460227015977,50.0,0.0011724035677346742,0
fan_normal_02,5,5.45,normal,demo_fixed_speed,800.0,512,z,g,simulated,0.031146162144230664,0.10378131629582765,1.6830177955352268,50.0,0.0009640504863982056,0
fan_normal_02,6,6.34,normal,demo_fixed_speed,800.0,512,z,g,simulated,0.03080583247113472,0.10159572581183751,1.663734854091797,50.0,0.0009300532355862383,0
fan_normal_02,7,7.23,normal,demo_fixed_speed,800.0,512,z,g,simulated,0.0327017563119776,0.1090712367527874,1.6905842796677266,50.0,0.0010793044192756091,0
fan_normal_03,0,1.0,normal,demo_fixed_speed,800.0,512,z,g,simulated,0.032160498455546624,0.1073068958734612,1.6895935147545051,50.0,0.001005514660090575,0
fan_normal_03,1,1.89,normal,demo_fixed_speed,800.0,512,z,g,simulated,0.03161113614739666,0.10722999845989223,1.7775812930370072,50.0,0.0009924006295355095,0
fan_normal_03,2,2.78,normal,demo_fixed_speed,800.0,512,z,g,simulated,0.031147311128536682,0.10986055341026857,1.852341254308538,50.0,0.0009619989304515051,0
fan_normal_03,3,3.67,normal,demo_fixed_speed,800.0,512,z,g,simulated,0.031766437560097394,0.11132563337933221,1.8288777241778853,50.0,0.0009926920106583235,0
fan_normal_03,4,4.56,normal,demo_fixed_speed,800.0,512,z,g,simulated,0.03449732376291272,0.11235192016984286,1.659557919140003,50.0,0.001171751661211968,0
fan_normal_03,5,5.45,normal,demo_fixed_speed,800.0,512,z,g,simulated,0.034188483808373124,0.10979569691899704,1.6191587469130517,50.0,0.0011655765734180537,0
fan_normal_03,6,6.34,normal,demo_fixed_speed,800.0,512,z,g,simulated,0.033359211685084114,0.10917654531427601,1.6436182291809123,50.0,0.0011015023521395591,0
fan_normal_03,7,7.23,normal,demo_fixed_speed,800.0,512,z,g,simulated,0.03271085341446461,0.10876351783115434,1.7029750128641443,50.0,0.0010535523180567846,0
fan_normal_04,0,1.0,normal,demo_fixed_speed,800.0,512,z,g,simulated,0.02965868869377595,0.09710080420809108,1.6420384301766178,50.0,0.0008587446063668989,0
fan_normal_04,1,1.89,normal,demo_fixed_speed,800.0,512,z,g,simulated,0.0321524264664743,0.10987278189959959,1.7448461429161153,50.0,0.0010419911849194846,0
fan_normal_04,2,2.78,normal,demo_fixed_speed,800.0,512,z,g,simulated,0.031110133696725415,0.10075017737453262,1.6330091502872968,50.0,0.0009610083380547133,0
fan_normal_04,3,3.67,normal,demo_fixed_speed,800.0,512,z,g,simulated,0.029642088758429917,0.09970429022202454,1.6876857944655612,50.0,0.0008609680558244453,0
fan_normal_04,4,4.56,normal,demo_fixed_speed,800.0,512,z,g,simulated,0.03030139832413086,0.10032394491731833,1.6580087954982963,50.0,0.0009260761627640381,0
fan_normal_04,5,5.45,normal,demo_fixed_speed,800.0,512,z,g,simulated,0.033900502749457224,0.1092788150347701,1.6156741404992958,50.0,0.0011606660442208458,0
fan_normal_04,6,6.34,normal,demo_fixed_speed,800.0,512,z,g,simulated,0.02995369660733094,0.10396591600361171,1.7406811237308157,50.0,0.0009003275354355479,0
fan_normal_04,7,7.23,normal,demo_fixed_speed,800.0,512,z,g,simulated,0.03218418337807094,0.1075249001811267,1.7363804194603094,50.0,0.0010139353881690083,0
